LON,LAT,NUMBER,STREET,UNIT,CITY,DISTRICT,REGION,POSTCODE,ID,HASH,address
-111.5783633,35.20147,2041,N COUNTRY CLUB DR,,,,,86004,,54db5e79a44bc5f6,2041 N COUNTRY CLUB DR  
-111.5784907,35.2014135,2037,N COUNTRY CLUB DR,,,,,86004,,fc2e7e3e80d55cb8,2037 N COUNTRY CLUB DR  
-111.5785808,35.2013541,2033,N COUNTRY CLUB DR,,,,,86004,,9bc2d2363d1e8d0f,2033 N COUNTRY CLUB DR  
-111.5788543,35.2013326,2029,N COUNTRY CLUB DR,,,,,86004,,113d59d3f253a43f,2029 N COUNTRY CLUB DR  
-111.5791068,35.2013247,2375,N OAKMONT DR,,,,,86004,,155fce45c09e4c1a,2375 N OAKMONT DR  
-111.578893,35.2012805,2025,N COUNTRY CLUB DR,,,,,86004,,10ebd85960efda81,2025 N COUNTRY CLUB DR  
-111.5790627,35.2012185,2377,N OAKMONT DR,,,,,86004,,8f31802f12ddc3a1,2377 N OAKMONT DR  
-111.578855,35.201143,2021,N COUNTRY CLUB DR,,,,,86004,,978edf3808f4f9c1,2021 N COUNTRY CLUB DR  
-111.5790065,35.2009559,2013,N COUNTRY CLUB DR,,,,,86004,,7e4c1143a9bd391f,2013 N COUNTRY CLUB DR  
-111.578156,35.2009144,2071,N COUNTRY CLUB DR,,,,,86004,,b74ab8147537f146,2071 N COUNTRY CLUB DR  
-111.5787802,35.2008412,2009,N COUNTRY CLUB DR,,,,,86004,,b7683ceb5eaac5ef,2009 N COUNTRY CLUB DR  
-111.5789045,35.2007811,2005,N COUNTRY CLUB DR,,,,,86004,,228e013801e6d8e1,2005 N COUNTRY CLUB DR  
-111.5782003,35.2007634,2067,N COUNTRY CLUB DR,,,,,86004,,92ee40f11a1158bf,2067 N COUNTRY CLUB DR  
-111.5781301,35.2007014,2063,N COUNTRY CLUB DR,,,,,86004,,e5237c96e52fb69c,2063 N COUNTRY CLUB DR  
-111.5789625,35.2006731,2001,N COUNTRY CLUB DR,,,,,86004,,a8e04e679cb7ce02,2001 N COUNTRY CLUB DR  
-111.5780433,35.2006043,2059,N COUNTRY CLUB DR,,,,,86004,,f5fd473bfa4427fe,2059 N COUNTRY CLUB DR  
-111.5783321,35.2004722,2055,N COUNTRY CLUB DR,,,,,86004,,45ba78bdaddf28cc,2055 N COUNTRY CLUB DR  
-111.5782056,35.2004588,2051,N COUNTRY CLUB DR,,,,,86004,,896bf957aa346608,2051 N COUNTRY CLUB DR  
-111.5788056,35.2002169,2047,N COUNTRY CLUB DR,,,,,86004,,f34947a85df002fb,2047 N COUNTRY CLUB DR  
-111.5783705,35.2001903,2015,N COUNTRY CLUB DR,,,,,86004,,eabf27bc880a7a38,2015 N COUNTRY CLUB DR  
-111.5788581,35.2001577,2043,N COUNTRY CLUB DR,,,,,86004,,a76637c906382cc9,2043 N COUNTRY CLUB DR  
-111.578424,35.2001485,2019,N COUNTRY CLUB DR,,,,,86004,,25dce6cf5693984b,2019 N COUNTRY CLUB DR  
